activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Fort Napoleon;8400;227913;10
Hidrodoe;2200;219177;10
Zwin Natuur Park;8300;378913;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;229360;10
Iers Vredespark;8957;229617;10
Bistro De Markt;8370;385266;10
Paul Delvauxmuseum;8670;223345;10
Kasteel Wijnendale;8820;222889;10
Strandrolstoel;8660;222223;10
Restaurant-Taverne Tijdok;8380;226693;10
Bezoekerscentrum Landschap De Liereman;2360;211475;10
Toerisme Middelkerke;8430;379090;10
Restaurant Caroline;8301;221343;10
Bruges Beer Museum;8000;211564;10
Huisbrouwerij Sint Canarus;9800;275352;10
Zwembad Hoge Blekker;8670;224672;10
Historium Brugge;8000;211558;10
Cuchara;3920;261635;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;212539;10
Restaurant De Mirage;8660;314734;10
Brasserie Cinq Annoo;8301;324790;10
Gravensteen;9000;211174;10
Rubenshuis;2000;384284;10
Zwin Natuur Park;8300;225595;10
Toerisme De Haan - Infokantoor Vosseslag;8420;228421;10
Strandrolstoel;8370;223883;10
Zwembad Ter Polder;8450;225392;10
Historium Brugge;8000;211604;10
Improvisio;3000;299061;10
Stadhuis Brugge;8000;211583;10
Maagdenhuismuseum;2000;211412;10
Strandjutter;8300;225880;10
Restaurant Brasserie Tearoom Beach;8300;220740;10
Hill 60;8902;222897;10
Gruuthusemuseum;8000;211564;10
strandbuggy's;8400;227206;10
Boury;8800;222305;10
Provinciaal Groendomein Hertberg;2230;219182;10
Toerisme De Haan - Centrum;8420;225392;10
Fietsbelevingscentrum De Velodroom;2850;226081;10
Wandelen met de Joëlette (draagrolstoel);2460;219513;10
Fort Napoleon;8400;229554;10
Resto North Sea (North Sea Bowl);8670;225823;10
Fort Napoleon;8400;228426;10
Wielingenbad;8420;228705;10
Kantcentrum;8000;211582;10
Restaurant De Mirage;8660;226271;10
Bezoekerscentrum Landschap De Liereman;2360;219598;10
Wombats lenen bij Dienst Toerisme;2920;219242;10
Tearoom Riviera;8430;227150;10
Stedelijk zwembad;8620;225392;10
Restaurant Blue Lobster;8380;220930;10
Coxyde Military Cemetery;8670;224209;10
Museum aan de IJzer;8600;229470;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;228074;10
Sint-Pieter-en-Paulkerk;2800;211952;10
Toerisme Oostende;8400;224166;10
Site Oud Sint-Jan;8000;211584;10
het MOT;1850;223831;10
Sint-Janshospitaal (Memlingmuseum);8000;211572;10
Markt;8000;211730;10
Zwembad Hoge Blekker;8670;221132;10
Cultuurplein;2800;211333;10
Toerisme De Haan - Centrum;8420;226617;10
Snijders&Rockoxhuis;2000;211666;10
Toerisme De Haan - Infokantoor Vosseslag;8420;224672;10
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;219965;10
Restaurant 	Verdi;8000;382322;10
Begijnhof Lier;2500;219242;10
strandbuggy's;8400;314734;10
Restaurant De Kombuis;8380;219794;10
Restaurant Venitien;8370;229356;10
Taverne Seastar Terminal;8620;220104;10
Zwin Natuur Park;8300;229392;10
Toerisme Baarle-Hertog-Nassau;2387;211057;10
Wandelen met de Joëlette (draagrolstoel);2460;219188;10
Begijnhuisje;8000;211538;10
Wombats lenen bij Dienst Toerisme;2920;218974;10
Museum De Mindere;3800;224993;10
Zwembad Hoge Blekker;8670;226357;10
Abdijmuseum Ten Duinen ;8670;219811;10
Provinciedomein Raversyde;8400;221616;10
Groeningemuseum;8000;211566;10
‘t Schipke;2800;211050;10
De Kwizien;3500;223634;10
Toerisme De Haan - Infokantoor Vosseslag;8420;222117;10
Toerisme De Haan - Infokantoor Vosseslag;8420;357397;10
Recreatiedomein Grasduinen;8450;222642;10
Stadhuis Brugge;8000;211558;10
Strandbuggy en -rolstoel;8400;228305;10
Provinciaal Groendomein Prinsenpark;2470;218992;10
Caterpillar;8902;224848;10
Restaurant Zeepaardje;8370;219837;10
Bezoekerscentrum De Lieteberg;3690;227966;10
Bezoekerscentrum Landschap De Liereman;2360;219557;10
Bezoekerscentrum Boekhoute;9961;229353;10
O.L.V. Sint-Pieterskerk;9000;211136;10
Restaurant Brasserie Tearoom Beach;8300;222504;10
Taverne On the Beach (Casino Middelkerke);8430;221781;10
Toerisme Knokke-Heist;8300;324928;10
Heemkundig Museum Turkeyenhof;8450;228421;10
Restaurant Comilfo;8620;225512;10
Strandjutter;8430;224878;10
Provinciale Erfgoedsite Ename (Pam Ename);9700;229361;10
Carcasse;8670;223485;10
Brouwerij Gulden Spoor;8560;229151;10
Glacier Vincent;8370;224166;10
Restaurant De Mirage;8660;228366;10
Strandrolstoel;8370;225053;10
Herisemmolen;1652;227008;10
Jenevermuseum;3500;225877;10
Cafetaria De Lenspolder (kinderboerderij);8620;228098;10
Gallo-Romeins Museum Tongeren;3700;223618;10
Hotel Dennenhof - restaurant;2930;218970;10
Bruges Beer Museum;8000;211702;10
Site John McCrae - Essex Farm Cemetery;8900;219847;10
Provinciedomein Raversyde;8400;229385;10
Strandrolstoel;8660;223485;10
Infopunt Visit Blankenberge;8370;229394;10
Taverne Den Bolhoed;2000;212279;10
Les Zéphyrs;8434;221410;10
Toerisme Malle;2390;219567;10
Rolstoelfietsen (Bocholt);3950;225643;10
Het Broek Blaasveld;2830;219903;10
Strandjutter;8430;222223;10
De Krook;9000;212009;10
Restaurant Bistreau;8450;221323;10
Historium Brugge;8000;211580;10
Abdijmuseum Ten Duinen ;8670;228267;10
Toeristisch bezoekerscentrum De Warandepoort;3080;227199;10
Coxyde Military Cemetery;8670;228305;10
Kasteel van Gaasbeek;1750;222225;10
VVV Toerisme Essen vzw;2910;219018;10
Glacier Vincent;8370;222952;10
Infokantoor Toerisme  Aalst;9300;229351;10
Abdijmuseum Ten Duinen ;8670;227633;10
Toerisme Oostende;8400;226767;10
Sint-Janshospitaal;8000;211540;10
Novotel Ieper Centrum;8900;223692;10
Minnewater;8000;211535;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;226370;10
Maritiem Themapark Seafront;8380;211608;10
La Belle;2440;219217;10
Carcasse;8670;250914;10
VVV Toerisme Essen vzw;2910;219370;10
Tandem (Toerisme Hamme);9220;222469;10
Zwembad Hoge Blekker;8670;227937;10
Duofiets huren bij de Bottelarij;3832;228983;10
Ravelingen - Den Ensor;8400;226693;10
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;228073;10
Restaurant - Tearoom De Markt;8620;220689;10
Restaurant De Mirage;8660;224166;10
Toerisme Ronse - Hoge Mote belevingscentrum;9600;225873;10
Stedelijk zwembad;8620;357397;10
Heemkundig Museum Turkeyenhof;8450;219749;10
Käthe Kollwitz Museum - Fransmansmuseum;8680;229384;10
Tyne Cot Cemetery & Memorial;8980;229396;10
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;225881;10
NAVIGO-Nationaal Visserijmuseum;8670;229395;10
Abdijmuseum Ten Duinen ;8670;222642;10
Zuivelmuseum;8370;228715;10
Iers Vredespark;8957;223152;10
Glacier Vincent;8370;222117;10
De Krook;9000;211135;10
Taverne Seastar Terminal;8620;226357;10
Greenhouse Bistro (Radisson Blu Hotel);3500;379593;10
MUSEA MAASEIK;3680;228275;10
Gandante ;9000;211259;10
Amu;2300;211475;10
Restaurant Aazaert;8370;221410;10
Minnewater;8000;264776;10
Brasserie Marcel;8370;227937;10
Zwin Natuur Park;8300;225484;10
Amu;2300;219513;10
Toerisme Tongeren;3700;221471;10
Paul Delvauxmuseum;8670;226370;10
Gentbrugse Meersen;9050;211174;10
Centrum Ronde van Vlaanderen - Belevingsmuseum;9700;220584;10
Abdijmuseum Ten Duinen ;8670;381218;10
Restaurant 	Verdi;8000;211547;10
Archeologiemuseum;8000;211574;10
DvT Koekelare;8680;229617;10
Toerisme Brugge (Zeedijk);8380;211557;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;221616;10
Brasserie Marcel;8370;221195;10
Restaurant Caroline;8301;227292;10
Lijssenthoek Military Cemetery;8970;225977;10
Brouwerij Boon;1502;226833;10
Graslei & Korenlei;9000;210818;10
Cafetaria De Lenspolder (kinderboerderij);8620;221195;10
Sint-Romboutskathedraal;2800;211185;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;228759;10
Restaurant De Mirage;8660;226357;10
Strandrolstoel;8660;228426;10
Bistro Moby Dick;8400;224672;10
Abdijmuseum Ten Duinen ;8670;220365;10
De Karper;9870;219832;10
Bezoekerscentrum Doornpanne;8670;224518;10
Brasserie Cinq Annoo;8301;223085;10
Restaurant Belvedere;8400;228421;10
Sportimonium;1981;221705;10
Tearoom Aan Zee;8660;225145;10
Ravelingen - De Wandelaar;8400;382345;10
Belgische Militaire Begraafplaats Adinkerke;8660;224166;10
Mijnmuseum Beringen;3582;227966;10
Restaurant-Taverne Tijdok;8380;222232;10
Restaurant Aazaert;8370;229140;10
Toerisme Brasschaat;2930;218982;10
Restaurant-Taverne Tijdok;8380;219885;10
het MOT;1850;221169;10
FOMU – Fotomuseum Antwerpen;2000;211092;10
Bezoekerscentrum Landschap De Liereman;2360;219303;10
Museum Schone Kunsten Gent - MSK;9000;211411;10
New Irish Farm Cemetery;8900;227874;10
Arentshuis;8000;211559;10
Floris;8200;211545;10
Marktplein Brugge;8000;211535;10
Arentshuis;8000;211613;10
Markt;8000;211604;10
Café 't Koningsrek “Zates”;2880;224507;10
Abdijmuseum Ten Duinen ;8670;228366;10
Paul Delvauxmuseum;8670;220365;10
Bezoekerscentrum Landschap De Liereman;2360;211326;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;220650;10
Rozentuin Coloma;1600;382258;10
Restaurant De Kombuis;8380;228208;10
Westfront;8620;220403;10
Strandrolstoel;8660;325233;10
Toerisme Maldegem;9990;227148;10
MUSEA MAASEIK;3680;229402;10
Restaurant Caroline;8301;228997;10
Ravelingen - Den Ensor;8400;220689;10
Living Tomorrow;1800;224790;10
Fort van Duffel;2570;219426;10
Toerisme Peer;3990;227508;10
Spoorfietsen;2950;219291;10
Cafetaria De Lenspolder (kinderboerderij);8620;225823;10
Rozentuin Coloma;1600;383516;10
Restaurant Van Artevelde (NH Gent Belfort);9000;211136;10
Restaurant Venitien;8370;223085;10
Carcasse;8670;221616;10
Sint-Salvatorskathedraal;8000;211576;10
De Karper;9870;219628;10
Toerisme De Panne;8660;220429;10
Restaurant De Kombuis;8380;225823;10
Tearoom Aan Zee;8660;221616;10
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;223305;10
Innesto;3530;261446;10
FOMU – Fotomuseum Antwerpen;2000;346429;10
Taverne Seastar Terminal;8620;229278;10
Frietmuseum;8000;211550;10
Zwembad Hoge Blekker;8670;228857;10
Restaurant Comilfo;8620;229380;10
Zwembad Hoge Blekker;8670;224810;10
Carcasse;8670;227206;10
Artillery Wood Cemetery;8904;222080;10
Strandjutter;8430;250914;10
Vayamundo De Kinkhoorn & Ravelingen;8400;228778;10
Restaurant Zeepaardje;8370;226767;10
Visit Lier;2500;211326;10
Improvisio;3000;210831;10
Greenhouse Bistro (Radisson Blu Hotel);3500;225877;10
Belle Epoque Centrum;8370;324790;10
Lijssenthoek Military Cemetery;8970;227874;10
Rubenshuis;2000;211932;10
Taverne On the Beach (Casino Middelkerke);8430;225145;10
Carcasse;8670;224518;10
Provinciedomein Raversyde;8400;221343;10
Tearoom - Eetcafé De Bretoen;8000;211605;10
Toerisme De Panne;8660;229393;10
Nationaal Park Hoge Kempen;3600;223747;10
Ecocentrum De Goren;2400;219018;10
Restaurant Maria van Bourgondië;8000;264776;10
La Belle;2440;219557;10
Infopunt Visit Blankenberge;8370;224287;10
Volkssterrenwacht MIRA;1850;227199;10
Paul Delvauxmuseum;8670;276418;10
Toeristisch infopunt Vilvoorde;1800;224790;10
Tearoom Aan Zee;8660;224518;10
Gallo-Romeins Museum Tongeren;3700;379597;10
Bistro Moby Dick;8400;229140;10
Restaurant Comilfo;8620;220403;10
Sint-Carolus Borromeuskerk;2000;381962;10
Vladslo Duits Militair Kerkhof (Praatbos);8600;227253;10
Loopgravensite Bayernwald;8950;227273;10
Eet-praatcafé De Smidse;8430;230285;10
Restaurant De Kombuis;8380;229375;10
Toerisme Wuustwezel;2990;219352;10
Restaurant Zeepaardje;8370;223345;10
Kantcentrum;8000;211545;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;224790;10
Westfront;8620;225058;10
Duinpanne;8660;229380;10
The Jane;2018;211987;10
Artillery Wood Cemetery;8904;229617;10
Infokantoor Markt (Historium);8000;211557;10
Sint-Janshospitaal (Memlingmuseum);8000;211581;10
Infokantoor Toerisme  Aalst;9300;276394;10
Potyze Burial Ground;8900;223692;10
Strandrolstoel;8370;220403;10
Toerisme - VVV Balen vzw;2490;275165;10
Strandbuggy en -rolstoel;8400;229394;10
Brouwerij Boon;1502;225657;10
strandbuggy's;8400;225053;10
Monument Lt. Juul De Winde;8840;221423;10
Toerisme Knokke-Heist;8300;229278;10
Restaurant Bistreau;8450;221009;10
Natuurpunt;2800;211050;10
Toerisme De Haan - Infokantoor Vosseslag;8420;228565;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;219749;10
Brouwerij De Kroon;3040;220957;10
Toeristisch bezoekerscentrum De Warandepoort;3080;382258;10
Sportimonium;1981;223137;10
Monument Lt. Juul De Winde;8840;222372;10
Infopunt Visit Blankenberge;8370;227603;10
Bellewaerde;8902;221408;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;225823;10
Toerisme Middelkerke;8430;225295;10
Dodengang;8600;226873;10
Nationaal Park Hoge Kempen;3600;222725;10
Amu;2300;219188;10
Kunsthal Gent (voomalig Caermersklooster);9000;211530;10
Bistro Vaudeville;8400;227292;10
Sel Gris;8301;228715;10
Chocolate Nation;2018;380418;10
Foubert – Cremerie & Chocoladebar;9100;335489;10
Coxyde Military Cemetery;8670;227142;10
Vlaamse Ardennenroute (120 km);9000;211454;10
Grand Café au Lilas Blanc;8301;229383;10
New Irish Farm Cemetery;8900;229617;10
Stadsmuseum 't Schippershof;8930;229151;10
Gezellehuis;8000;382322;10
Toerisme - VVV Balen vzw;2490;219430;10
Kattevennen-Cosmodrome vzw;3600;223490;10
Restaurant De Kombuis;8380;345862;10
Toerisme Malle;2390;219338;10
Strandrolstoel;8660;220363;10
Vrij Vaderland Belevingscentrum;8630;227874;10
Toerisme De Haan - Centrum;8420;222996;10
Tearoom Riviera;8430;228426;10
Heemkundig Museum Turkeyenhof;8450;223464;10
Restaurant - Tearoom De Markt;8620;224366;10
De Karper;9870;227987;10
Sint-Carolus Borromeuskerk;2000;211042;10
Fietsen Remory - verhuur elektrische fietsen;9230;357284;10
Fort van Duffel;2570;219252;10
Maagdenhuismuseum;2000;384265;10
Kasteel Beauvoorde;8630;225977;10
Toerisme De Panne;8660;224209;10
Het Huis van Alijn;9000;211082;10
Provinciale Erfgoedsite Ename (Pam Ename);9700;385219;10
Brouwerij De Kroon;3040;229352;10
Minnewater;8000;211597;10
het MOT;1850;227387;10
Restaurant De Kombuis;8380;220413;10
Groentemuseum 't Grom;2860;219426;10
Fort Napoleon;8400;227447;10
Toerisme De Panne;8660;324928;10
Bistro Moby Dick;8400;229386;10
Café De Republiek;8000;211701;10
Brasserie Cinq Annoo;8301;223963;10
Belgische Militaire Begraafplaats Westvleteren;8640;220048;10
Basiliek van het Heilig Bloed;8000;211608;10
Duinpanne;8660;377927;10
Arboretum Kalmthout EVAp vzw;2920;211326;10
Strandrolstoel;8660;220631;10
Tandem (Toerisme Hamme);9220;229638;10
Chocolate Nation;2018;211965;10
Dienst Toerisme Veurne;8630;220048;10
Markt;8000;211570;10
Sint-Pietersabdij;9000;211143;10
Restaurant Callecanes;8978;229555;10
MoMu - Modemuseum Antwerpen;2000;211876;10
Café De Republiek;8000;211556;10
Restaurant Callecanes;8978;227411;10
Tearoom Aan Zee;8660;222952;10
Graanmarkt 13;2000;211406;10
Archeologiemuseum;8000;211617;10
Heemkundig Museum Turkeyenhof;8450;219717;10
Huisbrouwerij Sint Canarus;9800;222044;10
Ravelingen - De Wandelaar;8400;221343;10
Resto North Sea (North Sea Bowl);8670;220560;10
Strandrolstoel;8370;221009;10
Restaurant-Taverne Tijdok;8380;223485;10
Toeristisch infopunt Vilvoorde;1800;227460;10
Café 't Koningsrek “Zates”;2880;276394;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;228295;10
Tearoom-restaurant Hill 60;8902;222897;10
Grote Markt Mechelen;2800;211053;10
Ghent-Authentic;9000;211170;10
DvT Waregem;8790;228599;10
Provinciaal Domein Sterrebos;8800;221682;10
Carcasse;8670;228366;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;220059;10
Brasserie Stadspark;2300;219598;10
Duofiets huren bij de Bottelarij;3832;226668;10
Toerisme Knokke-Heist;8300;228679;10
Provinciaal Domein Sterrebos;8800;221566;10
Modemuseum Hasselt;3500;229469;10
Cultuurplein;2800;211158;10
Restaurant Aazaert;8370;385838;10
Belle Epoque Centrum;8370;221314;10
Toerisme De Panne;8660;225880;10
strandbuggy's;8400;229385;10
strandbuggy's;8400;377927;10
’t Vijfde Seizoen;9880;223263;10
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;225949;10
Tearoom M due;8450;223085;10
Strandrolstoel;8660;228436;10
Bruges Beer Museum;8000;211574;10
Zuivelmuseum;8370;225254;10
Restaurant De Kombuis;8380;223168;10
Bezoekerscentrum “Duvel Depot”;2870;226985;10
Caterpillar;8902;223152;10
Strandjutter;8300;223085;10
Bijenteeltmuseum;2920;219252;10
Les Zéphyrs;8434;324790;10
De Karper;9870;222655;10
Nationaal Tabaksmuseum;8940;219965;10
Grand Café au Lilas Blanc;8301;220059;10
Markt;8000;211557;10
Kemmelberg - Monument aux Soldats Français (Den Engel);8950;222080;10
Les Zéphyrs;8434;223963;10
Guynemer Monument;8920;229384;10
Cuchara;3920;384594;10
Memorial Museum Passchendaele 1917;8980;227411;10
Guynemer Monument;8920;219920;10
Briljante Kempen;2560;386609;10
Strandjutter;8430;220969;10
Kantcentrum;8000;211609;10
Brasserie Entourage;8400;224724;10
Restaurant-Taverne Tijdok;8380;225823;10
Red Star Line Museum;2000;211116;10
Belle Epoque Centrum;8370;223485;10
Dodengang;8600;221955;10
Site John McCrae - Essex Farm Cemetery;8900;223152;10
Fort Napoleon;8400;220560;10
Begijnhofmuseum;2300;219285;10
Infopunt Visit Blankenberge;8370;227993;10
Les Zéphyrs;8434;225763;10
Vladslo Duits Militair Kerkhof (Praatbos);8600;226610;10
Restaurant Aazaert;8370;228366;10
S.M.A.K.;9000;211454;10
Bezoekersonthaal Kattevennen - Cosmodrome;3600;229398;10
Les Zéphyrs;8434;221009;10
Red Star Line Museum;2000;382980;10
Serpentarium;8370;224209;10
FOMU – Fotomuseum Antwerpen;2000;211932;10
Cozmix;8200;211606;10
APB Provinciaal Recreatiedomein Zilvermeer;2400;219599;10
Restaurant De Kombuis;8380;224672;10
Stedelijk zwembad;8620;225077;10
De Wereld van Kina: het Huis;9000;211835;10
Les Zéphyrs;8434;226383;10
Zwembad Ter Polder;8450;227150;10
Toerisme Baarle-Hertog-Nassau;2387;218982;10
Strandbuggy en -rolstoel;8400;226507;10
Restaurant De Mirage;8660;227937;10
Restaurant Blue Lobster;8380;228305;10
Saint-Charles De Potyze;8900;225008;10
Taverne On the Beach (Casino Middelkerke);8430;220589;10
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;224616;10
Volkssterrenwacht MIRA;1850;261144;10
Restaurant De Mirage;8660;220930;10
Bezoekerscentrum Doornpanne;8670;220689;10
Brasserie Entourage;8400;221343;10
APB Provinciaal Recreatiedomein Zilvermeer;2400;219217;10
Fort Napoleon;8400;263796;10
Hotel Dennenhof - restaurant;2930;219370;10
Toeristisch bezoekerscentrum De Warandepoort;3080;226263;10
Stedelijk zwembad;8620;224724;10
Brouwerij Gulden Spoor;8560;383253;10
La Belle;2440;219242;10
Restaurant Callecanes;8978;227211;10
Les Zéphyrs;8434;220354;10
Toerisme De Panne;8660;224518;10
Bezoekerscentrum Doornpanne;8670;226357;10
L'Histoire 32;9300;224448;10
Ons Margriet;2800;211053;10
Nationaal Tabaksmuseum;8940;229273;10
Bezoekerscentrum Landschap De Liereman;2360;219176;10
Restaurant Callecanes;8978;225545;10
Restaurant Aazaert;8370;228715;10
Restaurant - Tearoom De Markt;8620;223464;10
Permekemuseum;8490;229139;10
Toerisme De Haan - Infokantoor Vosseslag;8420;225392;10
Bezoekerscentrum Landschap De Liereman;2360;219029;10
Onze-Lieve-Vrouwekathedraal;2000;211039;10
Duinpanne;8660;225484;10
Ravelingen - Den Ensor;8400;223890;10
Sealife Center Belgium;8370;228778;10
Coxyde Military Cemetery;8670;229368;10
Restaurant Blue Lobster;8380;219922;10
Cafetaria De Lenspolder (kinderboerderij);8620;226357;10
Bistro Vaudeville;8400;221939;10
Wandelen met de Joëlette (draagrolstoel);2460;219062;10
M Leuven;3000;210831;10
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;223212;10
Gruuthusemuseum;8000;211586;10
Museum In Flanders Fields (IFF);8900;325282;10
Entomopolis;3690;212310;10
Restaurant Comilfo;8620;222232;10
Begijnhof Brugge;8000;211581;10
Vayamundo De Kinkhoorn & Ravelingen;8400;220740;10
Les Zéphyrs;8434;381218;10
Bezoekerscentrum en stoeterij brouwerij Palm;1840;226473;10
Ecocentrum De Goren;2400;219163;10
Sint-Janshospitaal (Memlingmuseum);8000;211601;10
Ravelingen - De Wandelaar;8400;220104;10
Rubenshuis;2000;383942;10
Brasserie Stadspark;2300;219029;10
Huisbrouwerij De Halve Maan;8000;211539;10
Ravelingen - Den Ensor;8400;229377;10
Brasserie Cinq Annoo;8301;223202;10
Brasserie Entourage;8400;223883;10
Taverne Seastar Terminal;8620;385838;10
Infopunt Visit Blankenberge;8370;229382;10
Strandrolstoel;8370;229278;10
Kantcentrum;8000;211730;10
Monument Lt. Juul De Winde;8840;223692;10
Heemkundig Museum Turkeyenhof;8450;220589;10
Strandjutter;8430;229393;10
Tearoom Aan Zee;8660;227292;10
Zoo Antwerpen;2018;211131;10
Red Star Line Museum;2000;211371;10
Ravelingen - De Wandelaar;8400;224518;10
Fort van Duffel;2570;211783;10
Fietsparadijs Limburg;3500;221657;10
Polymnia;1850;224790;10
Bistro Vaudeville;8400;228812;10
Taverne Passage (Grand Bazar Antwerp);2000;387237;10
Bezoekersonthaal Kattevennen - Cosmodrome;3600;229090;10
Maritiem Themapark Seafront;8380;211542;10
Toerisme Kasterlee;2460;275165;10
Briljante Kempen;2560;219252;10
